,y1,y2,y3,x1,x2,x3,x4
0,3.962457914,1.701077682,1.556572063,0.221993171,0.870732306,0.206719155,0.918610908
1,4.957531646,1.384165099,-2.223486445,0.488411189,0.611743863,0.765907856,0.518417988
2,3.761157692,0.62991175,0.53255007,0.296800502,0.187721229,0.080741269,0.738440296
3,5.135731947,1.153340482,-3.932083923,0.441309223,0.158309868,0.879937031,0.274086462
4,5.353029989,0.863543316,-2.15668109,0.414235019,0.296079933,0.628787909,0.57983781
5,1.470305703,0.697797054,-0.568406517,0.599929197,0.265819118,0.284685881,0.253588206
6,5.284255841,1.216231803,0.412452142,0.327563948,0.144164301,0.165612861,0.963930529
7,-1.692795659,0.997491993,1.997437829,0.960226715,0.188414656,0.024306562,0.204555546
8,0.318350522,1.418850602,2.257829108,0.699843614,0.779514586,0.022933092,0.577662858
9,7.595665777,1.472972297,-1.196575193,0.001642173,0.515472612,0.639795176,0.985624403
10,7.47676631,2.287695199,-1.886941521,0.259097596,0.802496885,0.870483087,0.922749614
11,6.461214337,1.193394553,-3.809209988,0.002214213,0.469488372,0.981468738,0.398944804
12,3.695214767,1.625700387,-1.649286117,0.813732478,0.546456498,0.770854087,0.484931075
13,1.795978781,0.041967385,-0.321092142,0.029111564,0.086525688,0.111453812,0.251245112
14,3.322269738,2.011389451,-0.765568967,0.964915293,0.631766053,0.816660203,0.566081996
15,6.667143385,2.784023518,-1.850809623,0.635356206,0.811902391,0.926682615,0.912626764
16,-0.075899232,0.880751278,-0.68992493,0.82481072,0.094202732,0.361048418,0.035509032
17,-0.964156105,1.18160239,1.55038033,0.546358349,0.796142721,0.051142803,0.188667736
18,5.215833992,0.943150314,-3.327200761,0.365477768,0.244290867,0.795087473,0.352094936
19,5.902584574,1.859425165,-0.71518851,0.638877682,0.493415052,0.583499744,0.939299352
20,3.252161534,1.57061291,-2.289500675,0.943540082,0.111692427,0.843554966,0.346028152
21,7.032785956,1.234014865,-0.86103002,0.100827273,0.383409066,0.510354797,0.961103082
22,4.439717308,1.007223894,-4.223350076,0.371512615,0.012369412,0.859706887,0.11111075
23,2.675372141,1.376971301,-0.569564796,0.478339044,0.849980032,0.514737967,0.446607828
24,2.996892206,1.017290356,-1.831920845,0.800476421,0.020391378,0.572618649,0.411383616
25,-2.973772978,1.628854711,3.252993521,0.985136798,0.80140153,0.053962102,0.190477773
26,1.85785316,0.999949726,-0.040978586,0.452418846,0.702942077,0.33204815,0.359983195
27,2.165138123,2.550585595,2.118231293,0.921470566,0.953630506,0.407685729,0.898571155
28,5.596916809,0.673947172,-2.007604067,0.330253252,0.082738569,0.526717565,0.660844391
29,3.389837945,2.612969356,-0.071356476,0.892984294,0.965157547,0.769932677,0.759099118
